Time [s],Surface component 1.min(d)X [mm],Surface component 1.max(d)X [mm],Surface component 1.max(d)Y [mm]
0.000000,0.000000,0.000000,0.000000
1.000000,0.005828,0.234154,0.096512
2.000000,0.388190,0.611250,-0.196849
3.000000,-0.165693,0.081817,0.054891
4.000000,0.087978,0.320767,0.136419
5.000000,-0.885172,-0.174536,0.368459
6.000000,-0.471387,-0.006693,0.275892
7.000000,-0.269377,0.251267,0.880843
8.000000,-0.329665,0.091618,0.588971
9.000000,-0.620941,-0.028763,0.824564
10.000000,-0.329896,0.315468,0.903030
11.000000,-0.561690,0.047123,0.917932
12.000000,-0.452157,0.251688,0.910881
13.000000,-0.665341,0.033975,0.989604
14.000000,-0.803148,-0.138088,1.461156
15.000000,-0.650959,0.093679,1.375866
16.000000,-0.774760,0.010799,1.432197
17.000000,-0.915694,-0.062676,1.750246
18.000000,-0.987690,-0.047104,1.716948
19.000000,-0.962836,-0.004511,1.955280
20.000000,-1.066268,-0.090621,2.068487
21.000000,-1.081269,-0.024387,2.060357
22.000000,-1.297804,-0.181314,2.313940
23.000000,-1.419279,-0.327259,2.335859
24.000000,-1.464641,-0.166942,2.497406
25.000000,-1.417878,-0.151009,2.611269
26.000000,-1.472290,-0.212414,2.652301
27.000000,-1.675295,-0.309831,2.868071
28.000000,-1.674549,-0.317070,2.824082
29.000000,-1.806079,-0.456473,2.968615
30.000000,-1.968694,-0.585867,3.311564
31.000000,-2.151454,-0.640309,3.459969
32.000000,-2.216810,-0.659220,3.607652
33.000000,-2.339513,-0.745961,3.674162
34.000000,-2.423757,-0.812773,3.646780
35.000000,-2.650684,-0.879389,3.719903
36.000000,-2.649790,-0.877239,3.794601
37.000000,-2.362047,-0.649321,3.759477
38.000000,-2.831367,-0.820621,3.791738
39.000000,-2.669629,-0.763153,3.840816
40.000000,-2.880018,-0.794079,3.839240
41.000000,-2.900273,-0.759905,3.935661
42.000000,-2.814588,-0.788687,4.020321
43.000000,-3.027628,-0.956021,4.082026
44.000000,-3.030854,-0.916794,4.110393
45.000000,-3.269305,-1.121564,4.205413
46.000000,-3.169525,-0.990822,4.335419
47.000000,-3.326115,-1.093643,4.368471
48.000000,-3.391633,-1.032103,4.356755
49.000000,-3.446511,-1.170650,4.414053
50.000000,-3.554585,-2.776682,3.920807
51.000000,-3.586291,-1.156846,4.603765
52.000000,-3.561501,-1.066887,4.597804
53.000000,-3.757593,-1.276447,4.690679
54.000000,-3.778849,-1.334697,4.769852
55.000000,-3.843899,-1.309346,4.823833
56.000000,-3.908498,-1.190629,4.645813
57.000000,-4.243881,-1.469826,5.122539
58.000000,-4.298597,-1.359674,5.016623
59.000000,-5.032335,-2.140960,5.268630
60.000000,-4.419353,-1.507881,5.364538
61.000000,-4.620167,-1.703409,5.360495
62.000000,-4.685277,-1.716209,5.490432
63.000000,-4.739889,-1.760502,5.615349
64.000000,-4.827028,-1.823396,5.500612
65.000000,-5.020714,-1.870072,5.555218
66.000000,-4.893644,-1.779751,5.700933
67.000000,-4.961021,-1.823048,5.694698
68.000000,-5.189876,-1.927052,5.700094
69.000000,-5.382187,-2.021894,5.868941
70.000000,-5.426075,-2.015855,5.865191
71.000000,-5.481133,-2.055339,5.873908
72.000000,-5.441701,-2.012436,5.882799
73.000000,-5.710215,-2.097477,5.893655
74.000000,-5.616028,-2.068483,5.931787
75.000000,-5.790835,-2.237386,5.938880
76.000000,-5.966092,-2.343277,5.974173
77.000000,-6.058405,-2.348163,5.955810
78.000000,-5.972640,-2.184974,6.028153
79.000000,-6.167975,-2.365216,6.069823
80.000000,-6.013380,-2.174919,6.128110
81.000000,-6.248949,-2.352848,6.181139
82.000000,-6.436279,-2.470603,6.168308
83.000000,-6.358474,-2.348788,6.217558
84.000000,-6.616232,-2.544281,6.232513
85.000000,-6.591691,-2.466273,6.435790
86.000000,-6.719237,-2.560381,6.267313
87.000000,-6.825480,-2.596648,6.476001
88.000000,-6.927149,-2.682309,6.323668
89.000000,-6.915504,-2.589598,6.346730
90.000000,-6.985001,-2.599123,6.465981
91.000000,-7.123168,-2.742439,6.572803
92.000000,-7.166220,-2.761203,6.607120
93.000000,-7.149049,-2.661488,6.560542
94.000000,-7.168645,-2.730482,6.811589
95.000000,-7.357629,-2.813441,6.716508
96.000000,-7.438015,-2.858740,6.705596
97.000000,-7.625795,-2.995587,6.783944
98.000000,-7.728904,-3.026123,6.982674
99.000000,-7.906828,-3.077948,6.791068
100.000000,-7.788821,-2.916671,6.969192
101.000000,-7.901698,-2.995409,6.927169
102.000000,-8.013357,-3.192576,6.986894
103.000000,-8.038231,-3.133530,6.944591
104.000000,-8.063164,-2.962373,7.096324
105.000000,-8.666092,-3.586734,6.987768
106.000000,-8.370323,-3.147253,6.997774
107.000000,-8.494442,-3.198929,7.076965
108.000000,-8.423968,-2.925656,7.125786
109.000000,-8.593546,-3.307151,7.041327
110.000000,-8.658153,-3.355976,7.083707
111.000000,-8.703933,-3.318920,7.200408
112.000000,-8.673409,-3.136235,7.113236
113.000000,-8.887397,-3.461381,7.329255
114.000000,-8.925075,-3.484550,7.385187
115.000000,-9.060908,-3.530193,7.326220
116.000000,-9.093758,-3.462085,7.361801
117.000000,-9.403127,-3.698654,7.547941
118.000000,-9.090009,-3.439826,7.230360
119.000000,-9.581727,-3.863074,7.121560
120.000000,-9.524219,-3.619626,7.371031
121.000000,-9.044751,-3.151455,7.273895
122.000000,-8.924784,-2.967128,6.862884
123.000000,-9.632910,-3.675688,7.393291
124.000000,-9.638675,-3.602455,7.342887
125.000000,-9.909591,-3.787199,7.554169
126.000000,-9.837543,-3.757191,7.615383
127.000000,-10.050393,-3.900666,7.592816
128.000000,-10.060950,-3.854586,7.589704
129.000000,-10.180269,-3.875318,7.633133
130.000000,-10.306434,-4.033427,7.642976
131.000000,-10.281535,-3.899215,7.752160
132.000000,-10.462883,-3.958109,7.683920
133.000000,-10.480188,-3.958699,7.648019
134.000000,-10.741917,-4.189288,7.755856
135.000000,-10.804357,-4.135890,7.870311
136.000000,-10.806178,-4.084424,7.909638
137.000000,-10.919178,-4.165204,7.831965
138.000000,-11.120147,-4.299415,7.899230
139.000000,-11.144753,-4.232425,7.925790
140.000000,-11.157718,-4.190915,7.932670
141.000000,-11.273712,-4.261724,7.719607
142.000000,-11.290413,-4.277677,8.113263
143.000000,-11.844680,-4.720230,7.863897
144.000000,-11.637399,-4.371103,8.189332
145.000000,-11.559393,-4.355824,7.843770
146.000000,-11.697271,-4.375909,7.898838
147.000000,-11.825100,-4.338364,7.675646
148.000000,-11.447818,-3.980255,7.795295
149.000000,-12.060025,-4.458294,7.855171
150.000000,-12.271688,-4.607611,7.934899
151.000000,-12.103901,-4.418918,7.799551
152.000000,-12.088320,-4.401670,7.770140
153.000000,-12.052128,-4.230415,7.934354
154.000000,-12.174756,-4.217721,7.794511
155.000000,-12.135210,-4.128994,7.679479
156.000000,-12.690476,-4.665981,7.953173
157.000000,-12.710650,-4.602375,7.911353
158.000000,-12.542857,-4.348718,7.804421
159.000000,-12.857534,-4.480165,8.110302
160.000000,-12.977370,-4.568683,7.999442
161.000000,-13.050612,-4.582714,8.081050
162.000000,-13.090722,-4.589959,7.929153
163.000000,-13.515007,-4.812575,8.302649
164.000000,-13.777558,-4.923541,8.338618
165.000000,-13.740698,-4.837273,8.453464
166.000000,-14.057712,-4.957604,8.473153
167.000000,-13.867814,-4.730038,8.470163
168.000000,-14.102909,-4.881360,8.375591
169.000000,-14.312563,-4.878559,8.512607
170.000000,-14.281901,-4.794898,8.491230
171.000000,-14.588370,-4.879773,8.527115
172.000000,-14.464581,-4.721702,8.453531
173.000000,-14.563601,-4.733269,8.422967
174.000000,-14.699958,-4.820244,8.452276
175.000000,-14.809934,-4.658062,8.311811
176.000000,-15.102727,-4.886685,8.590478
177.000000,-15.440631,-5.160194,8.845894
178.000000,-15.073545,-4.669791,8.692712
179.000000,-15.304225,-4.719470,8.713346
180.000000,-16.018732,-5.250298,8.813591
181.000000,-15.564760,-4.759610,8.719665
182.000000,-16.064508,-5.007761,8.824503
183.000000,-16.089136,-4.883421,8.838137
184.000000,-16.428181,-5.129520,8.922249
185.000000,-16.643112,-5.172661,8.906578
186.000000,-16.773376,-5.098907,8.863242
187.000000,-16.965374,-5.151791,8.862844
188.000000,-16.966042,-5.017275,8.940485
189.000000,-17.065977,-4.946439,8.860608
190.000000,-17.224804,-4.904524,8.843456
191.000000,-17.457535,-5.034339,8.896781
192.000000,-17.613331,-5.022501,8.944382
193.000000,-17.866474,-4.911461,8.856835
194.000000,-26.316591,-24.732365,-2.542037
195.000000,-26.064686,-24.918362,2.214544
