Time [s],Surface component 1.min(d)Y [mm],Surface component 1.max(d)Y [mm]
0.000000,0.000000,0.000000
1.000000,-0.099431,0.096512
2.000000,-0.428645,-0.196849
3.000000,-0.150836,0.054891
4.000000,-0.061311,0.136419
5.000000,0.116746,0.368459
6.000000,0.030878,0.275892
7.000000,0.594922,0.880843
8.000000,0.302843,0.588971
9.000000,0.514089,0.824564
10.000000,0.525755,0.903030
11.000000,0.620590,0.917932
12.000000,0.580043,0.910881
13.000000,0.662930,0.989604
14.000000,1.191006,1.461156
15.000000,1.081731,1.375866
16.000000,1.189503,1.432197
17.000000,1.312699,1.750246
18.000000,1.351190,1.716948
19.000000,1.522052,1.955280
20.000000,1.563289,2.068487
21.000000,1.618141,2.060357
22.000000,1.846224,2.313940
23.000000,1.819170,2.335859
24.000000,1.922506,2.497406
25.000000,2.029501,2.611269
26.000000,2.035085,2.652301
27.000000,2.237913,2.868071
28.000000,2.182468,2.824082
29.000000,2.239396,2.968615
30.000000,2.578800,3.311564
31.000000,2.638750,3.459969
32.000000,2.656651,3.607652
33.000000,2.757790,3.674162
34.000000,2.798556,3.646780
35.000000,2.916589,3.719903
36.000000,2.885417,3.794601
37.000000,2.892483,3.759477
38.000000,2.903141,3.791738
39.000000,2.885540,3.840816
40.000000,2.984048,3.839240
41.000000,3.036121,3.935661
42.000000,3.006021,4.020321
43.000000,3.106303,4.082026
44.000000,3.173430,4.110393
45.000000,3.268742,4.205413
46.000000,3.315816,4.335419
47.000000,3.370563,4.368471
48.000000,3.443521,4.356755
49.000000,2.668722,4.414053
50.000000,3.531682,3.920807
51.000000,3.641876,4.603765
52.000000,3.638832,4.597804
53.000000,3.754763,4.690679
54.000000,3.817404,4.769852
55.000000,3.846360,4.823833
56.000000,3.702594,4.645813
57.000000,4.180655,5.122539
58.000000,4.182484,5.016623
59.000000,4.321696,5.268630
60.000000,4.485922,5.364538
61.000000,4.544590,5.360495
62.000000,4.517159,5.490432
63.000000,4.609095,5.615349
64.000000,4.603769,5.500612
65.000000,4.689226,5.555218
66.000000,4.833402,5.700933
67.000000,4.835015,5.694698
68.000000,4.857052,5.700094
69.000000,5.016830,5.868941
70.000000,4.967201,5.865191
71.000000,5.026264,5.873908
72.000000,5.010388,5.882799
73.000000,5.133935,5.893655
74.000000,5.082092,5.931787
75.000000,5.227396,5.938880
