No.,Time( s) ,Elongation( mm) ,Force( N) ,Stress( MPa) ,Strain( %) 
1,0.095,0,0,0,0
2,0.196,0,0,0,0
3,0.298,0,0,0,0
4,0.406,0.004,1,0.019,0.005
5,0.508,0.005,2,0.037,0.006
6,0.646,0.005,3,0.054,0.006
7,0.784,0.009,4,0.076,0.009
8,0.904,0.011,5,0.104,0.012
9,0.994,0.013,6,0.115,0.013
10,1.114,0.014,7,0.13,0.015
11,1.246,0.016,8,0.152,0.018
12,1.366,0.019,9,0.173,0.02
13,1.486,0.02,10,0.189,0.022
14,1.618,0.023,11,0.212,0.024
15,1.738,0.024,12,0.234,0.026
16,1.834,0.026,13,0.253,0.028
17,1.954,0.028,14,0.273,0.03
18,2.068,0.03,15,0.293,0.032
19,2.194,0.032,16,0.312,0.035
20,2.284,0.034,18,0.332,0.036
21,2.428,0.036,19,0.353,0.039
22,2.548,0.038,20,0.373,0.041
23,2.656,0.04,21,0.394,0.043
24,2.776,0.042,22,0.412,0.045
25,2.884,0.044,23,0.433,0.047
26,2.974,0.045,24,0.451,0.049
27,3.058,0.046,25,0.468,0.05
28,3.196,0.049,26,0.487,0.053
29,3.328,0.051,27,0.507,0.055
30,3.454,0.053,28,0.526,0.057
31,3.568,0.055,29,0.544,0.059
32,3.688,0.057,30,0.565,0.062
33,3.784,0.059,31,0.585,0.063
34,3.874,0.06,32,0.6,0.065
35,3.946,0.061,33,0.617,0.066
36,4.054,0.063,33,0.633,0.068
37,4.156,0.065,34,0.65,0.07
38,4.234,0.066,35,0.665,0.072
39,4.348,0.068,36,0.68,0.073
40,4.426,0.069,37,0.696,0.075
41,4.534,0.071,38,0.713,0.077
42,4.666,0.073,39,0.732,0.079
43,4.769,0.075,40,0.749,0.081
44,4.864,0.077,41,0.769,0.083
45,4.954,0.078,41,0.786,0.084
46,5.044,0.08,42,0.802,0.086
47,5.164,0.082,43,0.821,0.089
48,5.266,0.084,44,0.836,0.09
49,5.374,0.085,45,0.853,0.092
50,5.476,0.087,46,0.871,0.094
